task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Throw eggs into metal receptacles,"Contestants must throw an egg into metal receptacles while standing or sitting on a chair. Each receptacle has a different point value. The highest single score wins, and if the egg remains unbroken, the score is doubled.",Taskmaster lab,"['Eggs', 'Metal receptacles marked with point values', 'A chair']","['Egg must be thrown from the chair.', 'Contestants cannot move the chair or the receptacles.', 'The task duration is ten minutes.']","['Physical', 'Time-based', 'Accuracy-related']","['Precision in aiming', 'Gentle handling to prevent breakage', 'Strategic thinking for scoring']",Physical,Solo,[],Task explainer and overseer,9,7,412,6,4,3,5,8,6,2,4,9_7_412,Taskmaster UK,Lab,Inside House,Physical,Solo,8,6,4,5,7,3,4,2
Forge the best Mount Rushmore,Contestants were tasked to create their own version of Mount Rushmore in a creative and humorous manner. They had 10 minutes to write a shopping list for materials and 30 minutes to construct their Mount Rushmore.,"The task took place in a controlled indoor environment, likely the Taskmaster ""lab"" or a similar studio setup.","['polystyrene', 'paint', 'wigs', 'cotton wool', 'clay', 'plasticine', 'sprinkles', 'glitter', 'potatoes', 'mashed potatoes', 'gravy', 'crew members as living props']","['10 minutes to plan (write a shopping list)', '30 minutes to execute their Mount Rushmore creation']","['Art', 'Time-based', 'Creative', 'Improvisational']","['Creativity and lateral thinking', 'Artistic ability (sculpting, painting)', 'Quick planning under time pressure', 'Resourcefulness and improvisation', ""Persuasiveness (Jo Brand's negotiation)""]",Artistic,Solo,['Involved creative interpretation and use of live props (crew members).'],"Alex served as the task facilitator, explaining rules and materials available.",9,7,413,8,9,4,5,9,7,2,3,9_7_413,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,6,8,7,3,2
Put the most gold rings on this drumstick.,"Contestants had to find and place as many gold rings as possible on a drumstick within five minutes. The task was complicated by a specific hand position that contestants had to maintain throughout, which limited their dexterity and mobility.","Indoors, likely in one of the rooms of the Taskmaster house.","['Gold rings hidden in various locations.', 'A drumstick on which to place the rings.']","[""Contestants had to keep their hands in a 'cuddle' position, with the tips of their fingers touching their corresponding fingers on the other hand."", 'They had five minutes to complete the task.']","['Physical', 'Time-based', 'Problem-solving', 'Fine motor skills']","['Fine motor control', 'Problem-solving', 'Patience', 'Time management', 'Dexterity']",physical,solo,[],Alex was involved in setting up the task and added an element of surprise by placing a ring on the contestants during a hug.,9,7,414,7,5,6,7,8,8,2,4,9_7_414,Taskmaster UK,Other,Other Locations,Physical,Solo,8,6,7,5,9,8,4,3
Read the Taskmaster’s mind,"Contestants must guess if a card chosen by the Taskmaster, Greg Davies, features a horse or a laminator. They receive one point for every correct consecutive answer, and the round ends on the first incorrect guess.",Studio during the live segment at the end of the episode.,"['A set of cards, each depicting either a horse or a laminator.', 'A table between the Taskmaster and the contestant.']","['Greg selects a card each round.', 'Contestants can attempt to read Greg’s mind by asking questions, but Greg can lie.', 'The task continues until the contestant makes a wrong guess.', 'No time limit is explicitly mentioned, but the task ends at the first incorrect answer.']","['Mental', 'Luck-based', 'Social', 'Performance']","['Luck', 'Observational skills', 'Social/poker skills', 'Composure', 'Confidence']",Mental,Solo,[],"Alex Horne observed the task and provided commentary, but his role was minimal in execution.",9,7,415,7,2,1,1,9,2,1,10,9_7_415,Taskmaster UK,Studio,Studio/Stage,Mental,Solo,8,4,2,3,7,5,9,10
The best thing from a shed,Contestants were tasked with bringing in what they considered to be the best item that could be found in a shed. This was a prize task where contestants presented their items to Greg Davies and Alex Horne in the studio.,Taskmaster studio,[],"['The item had to be something that could reasonably be found in a shed.', ""Scoring was subjective, based on Greg Davies' judgment.""]","['Creativity-based', 'Personal/sentimental', 'Humor-based', 'Prize task', 'Presentation']","['Creativity', 'Humor', 'Storytelling', 'Presentation skills', 'Personal insight']",Performance-based,solo,"['Storytelling', 'humor']","Alex assisted by facilitating the task, providing commentary, and reacting to the items.",9,8,416,7,9,1,1,8,2,9,3,9_8_416,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,7,9,2,3,8,1,4,2
Throw something into a pedal bin,Contestants were tasked with throwing an object into a pedal bin from the greatest possible distance. The pedal bin had to be shut when the object was thrown.,Taskmaster set,"['Pedal bin', 'Various objects that contestants could use to throw']","['The pedal bin must be shut when the object is thrown.', 'Contestants had a maximum of 20 minutes to complete the task.']","['Physical', 'Time-based', 'Strategy']","['Hand-eye coordination', 'Distance judgment', 'Throwing technique', 'Strategic thinking']",physical,solo,[],"Alex Horne primarily observed and documented the task, providing measurements and ensuring rules were adhered to.",9,8,417,6,5,6,7,8,7,3,5,9_8_417,Taskmaster UK,Lab,Inside House,Physical,Solo,6,4,5,3,7,5,3,2
Write and perform lyrics for the Taskmaster theme tune,Contestants were tasked with writing original lyrics to the instrumental Taskmaster theme tune and performing them in a memorable way within a 30-minute timeframe.,"The task was studio-based, as performances were recorded and later shown in the studio.","['Sheet music', 'Keyboard', 'Costumes', 'Cardboard cutouts']","['Time: 30 minutes to write and prepare for the performance.', 'Subjectivity: Performance judged on memorability and creativity by Greg Davies.']","['Creative', 'Musical', 'Performance-based', 'Time-based', 'Humorous']","['Musical creativity and composition', 'Performance skills and stage presence', 'Quick thinking and adaptability', 'Understanding of humor and show dynamics', 'Ability to work with rhythm and melody']",artistic,solo,"['singing', 'composing', 'acting']","Alex Horne introduced the task and supported performances, serving as a facilitator and part of the comedic dynamic.",9,8,418,7,9,2,6,9,8,3,2,9_8_418,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,6,8,7,3,2
Supply a soundtrack for a film,Contestants were required to create and perform an original soundtrack for a silent film clip. They had to perform the soundtrack live to picture using various musical instruments and noise-making props provided in the lab.,"Taskmaster house, specifically in the lab area.","['variety of musical instruments (keyboards, drums, maracas)', 'noise-making props', 'recording equipment']","['The soundtrack had to be performed live to the film, without post-production editing.', 'Contestants had a limited amount of time to prepare (20 minutes).', 'No outside help was allowed; only the materials provided in the lab could be used.']","['Artistic', 'Performance-based', 'Time-based', 'Improvisation']","['Musical creativity and improvisation', 'Quick thinking and coordination', 'Comic timing', 'Basic technical ability with instruments']",performance,solo,['composing and performing music'],Alex Horne was the task's observer and participant in the film clip. He also provided instructions and feedback.,9,8,419,6,9,3,7,9,8,2,3,9_8_419,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,6,5,8,7,4,3
Draw your own face on a face shield,"Contestants are required to draw their own face on the front of a welder's mask without adjusting it, ensuring the drawn face is the same size as their actual face. They have to decide whether their face will be very happy or very angry.","The task took place in the Taskmaster studio, in front of a live audience and Greg Davies.","[""A welder's mask for each contestant"", ""Drawing implements suitable for drawing on the mask's surface""]","[""Contestants cannot adjust, lift, or move the welder's mask once it is on."", ""The drawing must be the same size as the contestant's real face."", 'They have a time limit of three minutes.']","['Art', 'Time-based', 'Performance', 'Comedy']","['Spatial awareness', 'Memory (of their own facial features)', 'Artistic skill', 'Composure under time pressure', 'Ability to perform under scrutiny']",artistic,solo,"['Involves a performance aspect, as contestants must draw while being watched and judged.']",Alex Horne facilitated the task and provided comedic interjections.,9,8,420,8,6,3,7,9,8,1,5,9_8_420,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,8,7,3,4,9,7,5,2
The Most Desirable Smooth Thing,Contestants were asked to bring in an item from home that they considered the most desirable smooth thing. The items were judged based on the subjective criteria of smoothness and desirability by Greg Davies.,Taskmaster Studio,[],"['The item needed to be smooth and desirable.', ""Judgement was subjective, based on Greg Davies' preferences.""]","['Creative Interpretation', 'Presentation', 'Humor', 'Social Insight']","['Creativity', 'Humor', 'Insight', 'Storytelling']",Artistic/Creative,Solo,['Involved elements of humor and storytelling.'],"Alex Horne played the role of Taskmaster's assistant, facilitating the presentation and judging process.",9,9,421,7,9,1,2,8,3,9,2,9_9_421,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,3,7,1,4,5
Subtly Deliver a Five Word Instruction to Alex,Contestants were required to deliver a five-word instruction to Alex Horne in the most spy-like way possible. They had to ensure that they were neither seen nor heard by Alex while communicating the instruction.,Outdoor setting where Alex was positioned reading a newspaper.,"['Headphones', 'A walkie-talkie', 'Lemons', 'A visible van in the area']","['Contestants must not be seen or heard while communicating with Alex.', 'They had 20 minutes to ensure Alex executed their instruction.']","['Espionage-themed', 'Communication', 'Creative', 'Time-based']","['Creativity in communication methods', 'Problem-solving', 'Stealth and subtlety', 'Time management']","Performance-based, with elements of creativity and stealth.",Solo,"['Involved acting and performance, as contestants assumed spy personas.']","Alex was the receiver of the instructions, acting as a neutral party without prior knowledge of the task specifics.",9,9,422,7,9,3,6,8,7,4,5,9_9_422,Taskmaster UK,Garden,Outside House,Performance-based,Solo,8,9,4,6,7,5,3,2
"Inflate, tie, and pop the most balloons","Contestants were required to inflate, tie, and pop as many balloons as possible within 10 minutes. Once they began popping balloons, they could not inflate any more. Any balloons left inflated at the end of the 10 minutes would lead to disqualification.","Taskmaster house, though the exact room is not specified.","['Balloons', 'Possibly balloon pumps']","['Once popping begins, no more inflating is allowed.', 'All balloons must be popped within 10 minutes.', 'No clocks or timing devices could be used.']","['Time-based', 'Physical', 'Strategic', 'Stress management']","['Physical dexterity for inflating and tying balloons', 'Strategic planning to decide when to start popping', 'Time management without a clock', 'Stress tolerance under time pressure']",Physical,Solo,[],"Alex was present to clarify rules and constraints, and to observe and record the task results.",9,9,423,6,4,7,5,8,9,3,4,9_9_423,Taskmaster UK,Other,Other Locations,Physical,Solo,8,6,7,4,9,8,3,2
Make a famous couple using knees and/or elbows,"Contestants were instructed to make either a knee and an elbow, a knee and a knee, or an elbow and an elbow look like a famous couple. They could only use their knees and elbows to create the resemblance.",The caravan,[],"['Contestants could only use knees and elbows.', 'No other body parts or props were allowed.', 'Limited to 20 minutes to complete the task.']","['Art', 'Physical', 'Creative', 'Performance-based']","['Creativity', 'Physical flexibility', 'Lateral thinking', 'Sense of humor', 'Visualization skills']",artistic,solo,['Involved elements of acting and humor as contestants explained their creations.'],Alex presented the task and later assisted with judging alongside Greg Davies.,9,9,424,9,10,6,7,9,5,2,3,9_9_424,Taskmaster UK,Caravan,Outside House,Creative,Solo,9,10,6,4,8,5,7,3
Communicate pictures by drawing on your team-mate’s back,"Contestants were required to work in pairs, where one contestant drew a picture on the back of their team-mate using their finger. The team-mate had to reproduce the drawing on paper in front of them, attempting to match what was being traced on their back.",Taskmaster house,"['Paper', 'Pens or markers', 'Chairs']","['Communication restricted to drawing', 'No verbal cues or additional hints', 'Work in pairs or teams']","['Art', 'Non-verbal communication', 'Teamwork', 'Sensory perception']","['Tactile sensitivity', 'Clear drawing technique', 'Teamwork and non-verbal communication skills', 'Artistic ability']",artistic,group,"['Non-verbal communication', 'Tactile interpretation']",facilitator,9,9,425,6,7,2,6,8,4,3,3,9_9_425,Taskmaster UK,Lounge,Inside House,Creative,Group,8,7,4,5,9,3,6,2
The best thing that is very long and thin,"Contestants were tasked with bringing in an item they deemed to be the 'best' long and thin object. They presented their items in the studio to Greg Davies, the Taskmaster, who judged them based on subjective criteria.",Studio,[],"[""The item had to be 'very long and thin.' The interpretation of 'best' was subjective and relied on impressing the Taskmaster.""]","['Creativity', 'Presentation', 'Art', 'Object Design', 'Humor']","['Creativity in interpreting the task', 'Resourcefulness in sourcing or creating the object', ""Presentation skills to explain the item's merits"", 'Humor to entertain and engage the Taskmaster', 'Ingenious thinking to stand out among competitors']","Performance-based, with elements of creativity and presentation.",solo,['Involved storytelling and humor in presentations.'],"Alex Horne introduced the task and facilitated the studio discussion, supporting Greg Davies.",9,10,426,7,9,2,5,8,2,9,2,9_10_426,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,2,3,7,4,3,5
Do the most preposterous thing with a chickpea,"Contestants were required to perform the most absurd or ridiculous act involving a single chickpea within a 20-minute time limit. The task emphasized creativity and absurdity, with the Taskmaster, Greg Davies, subjectively judging the preposterousness of each attempt.","Various locations, including outdoors and the caravan.",['A single chickpea'],['20-minute time limit'],"['Creativity/Art', 'Performance', 'Time-based', 'Comedy']","['Creativity', 'Storytelling', 'Improvisation', 'Humor', 'Quick thinking']",Performance-based,Solo,"['Involved acting and storytelling, as contestants crafted narratives around their chickpea.']","Alex Horne assisted in setting up the task and observing the contestants' performances, providing subtle guidance and comedic commentary.",9,10,427,9,10,2,1,9,7,1,2,9_10_427,Taskmaster UK,Caravan,Outside House,Creative,Solo,9,10,2,3,8,7,9,5
Make the best cup of tea in this tea cup.,Contestants were tasked with making the best cup of tea using only the equipment provided on a table. They were prohibited from using anything from the kitchen and had to wear washing-up gloves throughout the task.,Taskmaster house,"['Various tea-making equipment bolted to a table', 'Teacup', 'Tea bags', 'Sugar', 'Milk', 'Other unspecified tools']","['Must use all equipment provided', 'Cannot use anything from the kitchen', 'Must wear washing-up gloves', 'Timed with a maximum of 10 minutes']","['Food-related', 'Time-based', 'Problem-solving', 'Creativity']","['Creativity', 'Problem-solving', 'Time management', 'Resourcefulness', 'Basic tea-making knowledge']",mental,group,"['Humor', 'Improvisation', 'Fishing net', 'Toilet paper']","Oversaw the task, clarified rules, and judged the tea quality.",9,10,428,6,8,3,5,8,7,2,3,9_10_428,Taskmaster UK,Lounge,Inside House,Creative,Solo,8,9,3,4,7,6,8,2
Complete the seven tasks in any order,"Contestants were presented with seven envelopes, each containing a separate task. They had to complete all seven tasks in any order, but once a task was touched, it had to be completed before moving to another. If a task was failed, the contestant had to start again. They were required to keep one hand on their hip throughout.","The task took place across the Taskmaster house garden and grounds, including movement between locations such as the caravan and areas designated for specific tasks.","['Seven envelopes with tasks', 'Wheelbarrow', 'Bricks', 'Jigsaw pieces', 'Bowling ball and skittles', 'Various objects for hiding and manipulation']","['Must complete a task once started', 'If a task is failed, start over from the beginning', 'Keep one hand on the hip throughout', 'Specific rules for individual tasks (e.g., tower must be 26 inches tall)']","['Physical', 'Time-based', 'Strategy', 'Problem-solving', 'Coordination']","['Strategic planning (to choose an effective task order)', 'Physical coordination (for tasks like bowling and carrying items)', 'Memory (to recall task rules and maintain sequence integrity)', 'Adaptability (to recover from mistakes and restarts)', 'Attention to detail (for tasks like the jigsaw puzzle)']",Mental and physical,solo,[],"Alex Horne acted as the task monitor, ensuring rules were followed, and providing commentary.",9,10,429,6,5,6,8,9,8,2,7,9_10_429,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,6,5,9,4,3,2
Select the Shortest Breadstick,"Contestants take turns pulling a breadstick from the apron of the person next to them. Before each pull, the breadstick bearer must point to one of their breadsticks, wink, and say, ""This is the short breadstick."" If the pulled breadstick is the short one, its bearer is disqualified. The last remaining player wins.",Studio (live task segment),['Aprons with multiple breadsticks for each contestant'],"['Contestants must pull breadsticks from the person on their left', 'The bearer must point, wink, and make a declaration before a pull']","['Social', 'Psychological', 'Game of Chance', 'Performance-based']","['Bluffing and misdirection', 'Psychological strategy', 'Social interaction', 'Ability to read opponents', 'Luck']",Performance-based,Group,['The task involves acting and bluffing'],"Alex explained the rules, facilitated the turns, and confirmed the outcomes.",9,10,430,7,6,1,2,8,3,1,8,9_10_430,Taskmaster UK,Studio,Studio/Stage,Performance-based,Group,9,7,2,3,8,5,6,9
Use a Spread to Delay a Pop-Up Toy,Contestants were tasked with making a pop-up toy take the longest time to pop up after being set. They could use a spread provided to them to achieve this goal.,Taskmaster studio,"['A classic pop-up toy (e.g., a Jack-in-the-box style toy)', 'Various spreads, likely including options such as butter, jam, or similar kitchen spreads']","['Contestants could use only one of the spreads provided', 'The only method allowed to delay the pop-up was through the use of the spread. Other interventions were not permitted', 'The task served as a tiebreaker']","['Food-related', 'Mechanical', 'Time-based', 'Creative']","['Ingenuity and lateral thinking', 'Understanding of friction and mechanics', 'Practical application skills', 'Calmness under pressure']",engineering,solo,[],"Likely served as a task overseer and judge, ensuring rules were followed and timing the pop-up delays.",9,10,431,8,7,2,5,7,6,3,4,9_10_431,Taskmaster UK,Lab,Inside House,Engineering,Solo,8,7,4,6,9,5,3,2
The Nicest Thing to Put in Your Mouth,"Contestants were instructed to bring in an item from home that they considered the nicest thing to put in their mouth. These items were then judged by the Taskmaster, Greg Davies.",Taskmaster Studio,"['white wine', 'halloumi cheese with chili', 'anti-reflux medicine', 'orthodontic braces', 'rubber teething toy shaped like a chicken wing']","[""subjective judgment of what constitutes 'nice' by Greg Davies""]","['Food-related', 'Creative interpretation', 'Prize task', 'Humorous', 'Subjective judgment']","['Creativity in item selection', ""Understanding of Taskmaster's humor"", 'Presentation skills', 'Risk-taking in interpretation', 'Strategic thinking']",Performance-based,Solo,['Involved humorous presentation and interpretation'],"Alex Horne acted as the facilitator and co-host, providing commentary and support.",10,1,432,7,8,1,2,8,2,9,3,10_1_432,Taskmaster UK,Lab,Inside House,Performance-based,Solo,9,8,2,3,10,4,3,5
"Fell the coconut, then move the drinks",Contestants had to knock a coconut off its perch and then transport drinks from one location to another without spilling. They were required to carry a teddy bear while moving the drinks and could not walk on the grass.,Outdoor (garden/lawn area) and caravan.,"['Coconuts', 'Drinks in cups', 'Teddy bears', 'Trays', 'Phone box']","['Knock the coconut off first to receive a teddy bear.', 'Carry drinks without spilling.', 'Must hold the teddy bear at all times.', 'Cannot walk on the grass while holding drinks.']","['Physical', 'Time-based', 'Coordination', 'Problem-solving']","['Precision', 'Coordination', 'Problem-solving', 'Speed']",physical,solo,[],Task presenter and rule clarifier.,10,1,433,7,6,5,6,8,7,3,4,10_1_433,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,6,5,9,7,4,3
Make a Large Object Vanish,"Contestants were instructed to make a large object disappear. They were not allowed to use any editing tricks and had one hour to complete the task. The object varied for each contestant but was typically something substantial and cumbersome, like a cow statue or a large piece of furniture.","Outdoors, likely in the garden area of the Taskmaster house","['Large object (varied for each contestant)', 'Anything available around the Taskmaster house']","[""The object had to be made to 'properly vanish.'"", 'No editing tricks were allowed.', 'Time limit of one hour.']","['Illusion/Trickery', 'Creativity', 'Problem-solving', 'Physical']","['Creativity', 'Lateral thinking', 'Problem-solving', 'Physical maneuvering']",mental and performance,solo,"['Performance', 'Illusion']","Task facilitator, providing instructions and observing the contestants' attempts.",10,1,434,8,9,6,5,8,7,3,4,10_1_434,Taskmaster UK,Garden,Outside House,Performance-based,Solo,8,9,7,4,8,5,6,3
Get the most eggs in the pan,"Contestants were tasked with landing the most eggs in a frying pan located on the ground below a balcony. They could not throw the eggs and had to stay on the balcony, using only the contents of one of two provided boxes to assist them.","The task took place on a balcony, targeting a frying pan located on the ground below.","['Eggs', 'Frying pan', 'Two boxes with different contents (e.g., helium balloons, tubes, sticks, etc.)']","['Contestants could not throw eggs.', 'They had to remain on the balcony.', 'They could only use the contents of one box.', 'The task lasted 20 minutes or until eggs ran out.']","['Engineering', 'Problem-solving', 'Time-based', 'Creativity', 'Physical']","['Creativity: To devise innovative methods to transport the egg.', 'Problem-solving: To use the available materials effectively.', 'Dexterity: To handle eggs without breaking them.', 'Lateral thinking: To find non-obvious solutions.', 'Engineering: To construct devices for egg transport.']",Engineering,Solo,[],"Alex was present to oversee the task, clarify rules, and provide minimal guidance.",10,1,435,8,9,5,8,9,7,3,5,10_1_435,Taskmaster UK,Garden,Outside House,Physical,Solo,8,9,4,6,7,5,3,2
Get the most balls of the same colour in your bucket using litter pickers,"The task required contestants to collect as many balls of the same color as possible into a bucket using litter pickers. The balls were of various colors, and contestants had to ensure that all the balls in their bucket were the same color by the end of the task.",Studio (as it was a live task at the end of the episode),"['Buckets', 'Litter pickers', 'Colored balls']","['Contestants would lose 5 points for every different colored ball in their bucket.', 'At the end of the task, all balls in the bucket had to be the same color.']","['Physical', 'Time-based', 'Precision', 'Strategy']","['Fine motor skills (for using the litter pickers effectively)', 'Strategic thinking (choosing the right color and sticking to it)', 'Focus and concentration (to avoid picking the wrong colored balls)', 'Speed (to collect as many balls as possible within the time limit)']",Primarily physical with a strategic element,solo,[],"Task overseer and judge, ensuring rules are followed and assisting with score tallying.",10,1,436,6,5,4,3,7,6,2,4,10_1_436,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,7,6,5,4,8,7,3,2
The best thing with loads of holes in it,"Contestants were required to bring in an item that they believe is the best thing with loads of holes in it as part of the prize task. The items were then judged by Greg Davies, and points were awarded based on how impressed he was with each item.",Studio,['Contestants brought their own items for the prize task.'],"['Items must have loads of holes.', 'Judged subjectively by Greg Davies.']","['Creative thinking', 'Prize task', 'Presentation', 'Humor']","['Creativity', 'Presentation skills', 'Humor', 'Understanding Greg Davies’ preferences', 'Resourcefulness']",artistic,solo,"['humor', 'presentation']","Alex Horne facilitated the task and provided commentary, assisting Greg in judging the items.",10,2,437,7,8,1,2,9,1,9,3,10_2_437,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,8,9,2,3,7,4,3,5
"Find the treasure / Make different, increasingly loud noises","This was a dual team task where one team member had to make increasingly loud noises every minute for 20 minutes, while the other two team members searched around the Taskmaster property to find a treasure hidden somewhere. The treasure hunt involved solving clues and using various props found around the property.","The task took place in and around the Taskmaster house, including locations such as the house interior, bathroom, and possibly outdoor areas like a shed.","['A box with clues', 'Encyclopaedia 22', 'A candle containing a key', 'A blowtorch', 'A pinhole camera', 'A sink to be pulled']",['Contestants were not allowed to break the box that contained or was related to the treasure.'],"['Puzzle-solving', 'Physical movement', 'Teamwork', 'Distraction management', 'Time-based']","['Problem-solving and puzzle-solving', 'Teamwork and communication', 'Attention to detail', 'Persistence and patience', 'Ability to focus despite distractions']","Primarily mental and physical, with a performance element.",group,['Involved a performance element with Johnny Vegas making noises.'],Alex Horne provided instructions and oversight but did not directly participate in the task.,10,2,438,7,6,5,5,8,7,2,4,10_2_438,Taskmaster UK,Bathroom,Inside House,Problem-solving,Mixed,8,7,4,5,9,6,3,2
"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs, and your own clothes.","Contestants were required to create a portrait of Greg Davies (the Taskmaster) and his unspecified favourite toy. The portrait had to fill an empty frame and could only use balloons, brightly colored pegs, and their own clothing. They had 30 minutes to complete this task.",Lab,"['Balloons of various colors', 'Brightly colored clothes pegs (including yellow)', ""Contestants' own clothing"", 'An empty frame']","['Only the specified materials could be used.', 'The portrait must fill the provided frame.', 'Time limit of 30 minutes.']","['Art', 'Time-based', 'Creativity', 'Humor']","['Creativity', 'Manual dexterity', 'Artistic interpretation', 'Problem-solving', 'Time management']",Artistic,Solo,[],"Alex introduced the task and provided humorous commentary, particularly noting the comparison to Art Attack.",10,2,440,8,10,4,5,9,7,2,3,10_2_440,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,5,7,8,6,3
Get all the exercise balls in the hoops while in a boat,"The contestants had to place large floating exercise balls into floating hoops on a pond while remaining seated in a small rowing boat. The task emphasized speed, requiring contestants to complete the activity in the fastest time possible without leaving the boat or moving the hoops.",Outdoor setting on the pond/lake in the Taskmaster house grounds.,"['Large exercise balls (floating on water)', 'Floating hoops (targets)', 'Small rowing boat with oars']","['Contestants must remain in the boat at all times.', 'Hoops must not be moved.', 'Fastest time wins.', 'Leaving the boat results in invalidating the attempt or penalties.']","['Physical', 'Time-based', 'Coordination', 'Water-based']","['Coordination and balance', 'Rowing ability', 'Dexterity', 'Problem-solving']",physical,solo,[],Alex Horne outlined the rules and constraints and judged whether rules were adhered to.,10,2,441,7,5,6,7,9,8,2,3,10_2_441,Taskmaster UK,Garden,Outside House,Physical,Solo,8,6,7,5,8,9,4,3
Guess what is making the noises,"Contestants were required to listen to a series of sounds and guess what objects or things were making those noises. Each correct guess earned them a point, and the contestant with the most correct guesses won the task.",Studio,['Audio recordings of various noises'],"['Contestants had to guess the objects making the noises.', 'Each correct guess earned a point.', 'The contestant with the most points won.']","['Auditory', 'Mental', 'Time-based', 'Knowledge-based']","['Auditory recognition', 'General knowledge about sounds', 'Quick thinking', 'Concentration']",mental,solo,[],Alex Horne facilitated the task by likely playing the sounds and recording the contestants' guesses.,10,2,442,6,5,1,4,7,6,2,4,10_2_442,Taskmaster UK,Lab,Inside House,Mental,Solo,7,6,2,4,8,7,3,5
Select a Wind-Up Dinosaur,"Contestants had to choose one of five wind-up toy dinosaurs and make it travel the furthest across a table. They were given 30 seconds to select their dinosaur. If the dinosaur fell off the table, the contestant would be disqualified. The dinosaur that traveled the furthest distance across the table would win.",Studio,"['Five wind-up toy dinosaurs', 'A table surface for the dinosaurs to travel across', 'A starter mark from which to release the dinosaurs']","['Contestants had 30 seconds to select their dinosaur.', 'They had to release the dinosaur from a designated starter mark.', 'If the dinosaur fell off the table, the contestant would be disqualified.', 'The dinosaur that traveled the furthest distance across the table would win.']","['Toy-related', 'Time-based', 'Risk management', 'Decision-making']","['Strategic thinking in selecting the right dinosaur', 'Fine motor control to wind up and release the toy correctly', 'Judgment in determining how much to wind the toy', 'Risk management to avoid disqualification', 'Quick decision-making under time pressure']",Performance-based,Solo,[],Alex Horne likely facilitated the task by explaining the rules and timing the selection process.,10,2,443,7,3,2,3,8,6,1,6,10_2_443,Taskmaster UK,Lab,Inside House,Physical,Solo,8,5,4,3,7,9,6,2
The best thing that probably has a spring,"Contestants were required to bring in an item from home that they believed probably had a spring in its mechanism. This was a prize task where each contestant presented their item, and the Taskmaster, Greg Davies, judged them.",The task took place in the Taskmaster studio.,"['penguin race game', 'water pistol', 'mattress', 'one-armed bandit', 'umbrella']","[""The item 'probably' has a spring, allowing for ambiguity and interpretation.""]","['Improvisation', 'Presentation-based', 'Humorous', 'Creative interpretation']","['Persuasion', 'Creativity', 'Humor', 'Knowledge of Mechanics']",performance,solo,"['Humor', 'Storytelling']",Alex Horne facilitated the task by introducing contestants and assisting Greg Davies with judging.,10,3,444,8,7,2,4,9,3,6,5,10_3_444,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,8,7,2,4,9,1,3,5
Make the best upside-down film,"Contestants were tasked with creating a unique and entertaining short film from an upside-down perspective. They had one hour to complete this video, which was to be judged by Greg Davies based on creativity and execution.",Taskmaster house,"['Basic video recording equipment', 'Props', 'Wires (as mentioned by Richard Herring)']",['Time limit of one hour'],"['Art', 'Performance', 'Creative', 'Time-based', 'Film-making']","['Creativity and conceptual thinking', 'Basic filmmaking and editing skills', 'Storytelling ability', 'Time management', 'Problem-solving to create the upside-down illusion']",artistic,solo,"['Involved acting', 'Filming', 'Composing music']",Alex Horne acted as a facilitator and sometimes appeared in the films.,10,3,445,8,9,3,6,9,7,2,2,10_3_445,Taskmaster UK,Lounge,Inside House,Creative,Solo,8,9,3,6,8,7,4,2
Put all the spaghetti into the grapefruit.,Contestants were required to insert as much dry spaghetti as possible into a grapefruit within a set time limit.,"The task took place indoors, likely in the Taskmaster house/lab.","['grapefruit', 'uncooked spaghetti']","['The grapefruit could not leave the room.', 'Contestants had 10 minutes to complete the task.', 'For the last 8 minutes, contestants had to stand with both feet on a designated spot on the floor.', 'The lights went out after 2 minutes, requiring contestants to work in darkness.']","['Food-related', 'Physical', 'Time-based', 'Sensory', 'Problem-solving']","['Dexterity and fine motor skills', 'Problem-solving', 'Adaptability to changing conditions', 'Spatial reasoning', 'Patience']",Primarily physical and problem-solving,solo,"['Involved working in darkness, which added a sensory challenge.']","Alex was the observer and rule enforcer, providing clarification and monitoring the task's progress.",10,3,446,8,5,4,6,7,7,1,3,10_3_446,Taskmaster UK,Lab,Inside House,Physical,Solo,9,7,5,4,8,6,9,3
